y,ds
101.859228,2022-04-30
101.859228,2022-04-29
104.224037,2022-04-28
103.533098,2022-04-27
105.192005,2022-04-26
105.812709,2022-04-25
105.447645,2022-04-24
105.447645,2022-04-23
105.447645,2022-04-22
106.299525,2022-04-21
107.46814,2022-04-20
106.030637,2022-04-19
105.531619,2022-04-18
105.328348,2022-04-17
105.328348,2022-04-16
105.328348,2022-04-15
105.328348,2022-04-14
105.328348,2022-04-13
104.2907,2022-04-12
105.65958,2022-04-11
106.037415,2022-04-10
106.037415,2022-04-09
106.037415,2022-04-08
104.697681,2022-04-07
107.244226,2022-04-06
107.828984,2022-04-05
107.916388,2022-04-04
107.822714,2022-04-03
107.822714,2022-04-02
107.822714,2022-04-01
108.546726,2022-03-31
107.956199,2022-03-30
107.138816,2022-03-29
107.492457,2022-03-28
107.490721,2022-03-27
107.490721,2022-03-26
107.490721,2022-03-25
106.764514,2022-03-24
105.76124,2022-03-23
105.794827,2022-03-22
105.068181,2022-03-21
105.711276,2022-03-20
105.711276,2022-03-19
105.711276,2022-03-18
107.19738,2022-03-17
105.93209,2022-03-16
105.952192,2022-03-15
102.842168,2022-03-14
106.695972,2022-03-13
106.695972,2022-03-12
106.695972,2022-03-11
106.955066,2022-03-10
105.088481,2022-03-09
104.836796,2022-03-08
108.960614,2022-03-07
109.774855,2022-03-06
109.774855,2022-03-05
109.774855,2022-03-04
110.364356,2022-03-03
109.011063,2022-03-02
110.382643,2022-03-01
108.848772,2022-02-28
107.715739,2022-02-27
107.715739,2022-02-26
107.715739,2022-02-25
107.715739,2022-02-24
109.939834,2022-02-23
111.117311,2022-02-22
110.048023,2022-02-21
110.652615,2022-02-20
110.652615,2022-02-19
110.652615,2022-02-18
110.896576,2022-02-17
111.022461,2022-02-16
109.063446,2022-02-15
109.609041,2022-02-14
107.897229,2022-02-13
107.897229,2022-02-12
107.897229,2022-02-11
110.401858,2022-02-10
111.471554,2022-02-09
110.758746,2022-02-08
109.599472,2022-02-07
110.638495,2022-02-06
110.638495,2022-02-05
110.638495,2022-02-04
109.532184,2022-02-03
110.676277,2022-02-02
